Timestep,C26+Mass,percentage,Mass_total
'300027', 0.0, 0.0, 12129.558
'301000', 0.0, 0.0, 12129.558
'302000', 0.0, 0.0, 12129.558
'303000', 0.0, 0.0, 12129.558
'304000', 0.0, 0.0, 12129.558
'305000', 502.60268, 0.04143619083234525, 12129.558
'306000', 502.60268, 0.04143619083234525, 12129.558
'307000', 0.0, 0.0, 12129.558
'308000', 0.0, 0.0, 12129.558
'309000', 0.0, 0.0, 12129.558
'310000', 0.0, 0.0, 12129.558
'311000', 0.0, 0.0, 12129.558
'312000', 0.0, 0.0, 12129.558
'313000', 0.0, 0.0, 12129.558
'314000', 0.0, 0.0, 12129.558
'315000', 0.0, 0.0, 12129.558
'316000', 502.60268, 0.04143619083234525, 12129.558
'317000', 997.18336, 0.08221102203394386, 12129.558
'318000', 997.18336, 0.08221102203394386, 12129.558
'319000', 997.18336, 0.08221102203394386, 12129.558
'320000', 997.18336, 0.08221102203394386, 12129.558
'321000', 502.60268, 0.04143619083234525, 12129.558
'322000', 502.60268, 0.04143619083234525, 12129.558
'323000', 0.0, 0.0, 12129.558
'324000', 0.0, 0.0, 12129.558
'325000', 0.0, 0.0, 12129.558
'326000', 0.0, 0.0, 12129.558
'327000', 0.0, 0.0, 12129.558
'328000', 0.0, 0.0, 12129.558
'329000', 0.0, 0.0, 12129.558
'330000', 0.0, 0.0, 12129.558
'331000', 0.0, 0.0, 12129.558
'332000', 0.0, 0.0, 12129.558
'333000', 0.0, 0.0, 12129.558
'334000', 0.0, 0.0, 12129.558
'335000', 0.0, 0.0, 12129.558
'336000', 0.0, 0.0, 12129.558
'337000', 0.0, 0.0, 12129.558
'338000', 0.0, 0.0, 12129.558
'339000', 0.0, 0.0, 12129.558
'340000', 0.0, 0.0, 12129.558
'341000', 0.0, 0.0, 12129.558
'342000', 0.0, 0.0, 12129.558
'343000', 0.0, 0.0, 12129.558
'344000', 0.0, 0.0, 12129.558
'345000', 0.0, 0.0, 12129.558
'346000', 0.0, 0.0, 12129.558
'347000', 0.0, 0.0, 12129.558
'348000', 0.0, 0.0, 12129.558
'349000', 0.0, 0.0, 12129.558
'350000', 0.0, 0.0, 12129.558
'351000', 0.0, 0.0, 12129.558
'352000', 0.0, 0.0, 12129.558
'353000', 0.0, 0.0, 12129.558
'354000', 0.0, 0.0, 12129.558
'355000', 0.0, 0.0, 12129.558
'356000', 0.0, 0.0, 12129.558
'357000', 0.0, 0.0, 12129.558
'358000', 0.0, 0.0, 12129.558
'359000', 0.0, 0.0, 12129.558
'360000', 0.0, 0.0, 12129.558
'361000', 0.0, 0.0, 12129.558
'362000', 452.544, 0.037309191315957266, 12129.558
'363000', 452.544, 0.037309191315957266, 12129.558
'364000', 452.544, 0.037309191315957266, 12129.558
'365000', 452.544, 0.037309191315957266, 12129.558
'366000', 452.544, 0.037309191315957266, 12129.558
'367000', 452.544, 0.037309191315957266, 12129.558
'368000', 452.544, 0.037309191315957266, 12129.558
