Timestep,formula,C_cout,H_count,C/H,H/C
130.2094, 'C38H21', 38, 21, 1.8095238095238095, 0.5526315789473685
130.4094, 'C38H21', 38, 21, 1.8095238095238095, 0.5526315789473685
130.6094, 'C58H33', 58, 33, 1.7575757575757576, 0.5689655172413793
130.8094, 'C58H32', 58, 32, 1.8125, 0.5517241379310345
131.0094, 'C58H32', 58, 32, 1.8125, 0.5517241379310345
131.2094, 'C42H24', 42, 24, 1.75, 0.5714285714285714
131.4094, 'C58H29', 58, 29, 2.0, 0.5
131.6094, 'C57H32', 57, 32, 1.78125, 0.5614035087719298
131.8094, 'C57H30', 57, 30, 1.9, 0.5263157894736842
132.0094, 'C50H26', 50, 26, 1.9230769230769231, 0.52
132.2094, 'C38H21', 38, 21, 1.8095238095238095, 0.5526315789473685
132.4094, 'C42H23', 42, 23, 1.826086956521739, 0.5476190476190477
132.6094, 'C40H21', 40, 21, 1.9047619047619047, 0.525
132.8094, 'C58H32', 58, 32, 1.8125, 0.5517241379310345
133.0094, 'C58H32', 58, 32, 1.8125, 0.5517241379310345
133.2094, 'C57H31', 57, 31, 1.8387096774193548, 0.543859649122807
133.4094, 'C40H19', 40, 19, 2.1052631578947367, 0.475
133.6094, 'C40H22', 40, 22, 1.8181818181818181, 0.55
133.8094, 'C58H28', 58, 28, 2.0714285714285716, 0.4827586206896552
134.0094, 'C47H23', 47, 23, 2.0434782608695654, 0.48936170212765956
134.2094, 'C58H31', 58, 31, 1.8709677419354838, 0.5344827586206896
134.4094, 'C40H23', 40, 23, 1.7391304347826086, 0.575
134.6094, 'C40H19', 40, 19, 2.1052631578947367, 0.475
134.8094, 'C40H22', 40, 22, 1.8181818181818181, 0.55
135.0094, 'C40H21', 40, 21, 1.9047619047619047, 0.525
135.2094, 'C40H22', 40, 22, 1.8181818181818181, 0.55
135.4094, 'C40H22', 40, 22, 1.8181818181818181, 0.55
135.6094, 'C40H23', 40, 23, 1.7391304347826086, 0.575
135.8094, 'C40H23', 40, 23, 1.7391304347826086, 0.575
136.0094, 'C40H22', 40, 22, 1.8181818181818181, 0.55
136.2094, 'C40H21', 40, 21, 1.9047619047619047, 0.525
136.4094, 'C40H22', 40, 22, 1.8181818181818181, 0.55
136.6094, 'C40H24', 40, 24, 1.6666666666666667, 0.6
136.8094, 'C40H22', 40, 22, 1.8181818181818181, 0.55
137.0094, 'C40H22', 40, 22, 1.8181818181818181, 0.55
137.2094, 'C40H21', 40, 21, 1.9047619047619047, 0.525
137.4094, 'C40H22', 40, 22, 1.8181818181818181, 0.55
137.6094, 'C40H23', 40, 23, 1.7391304347826086, 0.575
137.8094, 'C40H23', 40, 23, 1.7391304347826086, 0.575
138.0094, 'C40H22', 40, 22, 1.8181818181818181, 0.55
138.2094, 'C40H22', 40, 22, 1.8181818181818181, 0.55
138.4094, 'C40H22', 40, 22, 1.8181818181818181, 0.55
138.6094, 'C40H22', 40, 22, 1.8181818181818181, 0.55
138.8094, 'C40H21', 40, 21, 1.9047619047619047, 0.525
139.0094, 'C40H23', 40, 23, 1.7391304347826086, 0.575
139.2094, 'C40H23', 40, 23, 1.7391304347826086, 0.575
139.4094, 'C40H22', 40, 22, 1.8181818181818181, 0.55
139.6094, 'C40H23', 40, 23, 1.7391304347826086, 0.575
139.8094, 'C40H23', 40, 23, 1.7391304347826086, 0.575
140.0094, 'C40H22', 40, 22, 1.8181818181818181, 0.55
140.2094, 'C40H22', 40, 22, 1.8181818181818181, 0.55
140.4094, 'C40H20', 40, 20, 2.0, 0.5
140.6094, 'C38H17', 38, 17, 2.235294117647059, 0.4473684210526316
140.8094, 'C40H22', 40, 22, 1.8181818181818181, 0.55
141.0094, 'C40H22', 40, 22, 1.8181818181818181, 0.55
141.2094, 'C40H22', 40, 22, 1.8181818181818181, 0.55
141.4094, 'C40H23', 40, 23, 1.7391304347826086, 0.575
141.6094, 'C40H22', 40, 22, 1.8181818181818181, 0.55
141.8094, 'C40H22', 40, 22, 1.8181818181818181, 0.55
142.0094, 'C40H21', 40, 21, 1.9047619047619047, 0.525
142.2094, 'C40H20', 40, 20, 2.0, 0.5
142.4094, 'C40H21', 40, 21, 1.9047619047619047, 0.525
142.6094, 'C40H21', 40, 21, 1.9047619047619047, 0.525
142.8094, 'C40H21', 40, 21, 1.9047619047619047, 0.525
143.0094, 'C40H22', 40, 22, 1.8181818181818181, 0.55
143.2094, 'C40H22', 40, 22, 1.8181818181818181, 0.55
143.4094, 'C40H21', 40, 21, 1.9047619047619047, 0.525
143.6094, 'C38H21', 38, 21, 1.8095238095238095, 0.5526315789473685
143.8094, 'C40H23', 40, 23, 1.7391304347826086, 0.575
144.0094, 'C40H23', 40, 23, 1.7391304347826086, 0.575
144.2094, 'C40H22', 40, 22, 1.8181818181818181, 0.55
144.4094, 'C40H21', 40, 21, 1.9047619047619047, 0.525
144.6094, 'C40H22', 40, 22, 1.8181818181818181, 0.55
144.8094, 'C40H20', 40, 20, 2.0, 0.5
145.0094, 'C40H21', 40, 21, 1.9047619047619047, 0.525
145.2094, 'C40H23', 40, 23, 1.7391304347826086, 0.575
145.4094, 'C40H22', 40, 22, 1.8181818181818181, 0.55
