Timestep,HO,H2O,O,H3O,H4O
300027,20,0,0,0,0
301000,20,0,0,0,0
302000,20,0,0,0,0
303000,20,0,0,0,0
304000,20,0,0,0,0
305000,20,0,0,0,0
306000,20,0,0,0,0
307000,19,0,0,0,0
308000,18,0,0,0,0
309000,17,1,0,0,0
310000,16,2,0,0,0
311000,14,2,0,0,0
312000,14,2,0,0,0
313000,15,2,0,0,0
314000,15,2,0,0,0
315000,15,2,0,0,0
316000,14,3,0,0,0
317000,13,3,0,0,0
318000,12,3,0,0,0
319000,12,3,0,0,0
320000,11,3,0,0,0
321000,13,3,0,0,0
322000,12,3,0,0,0
323000,12,3,0,0,0
324000,12,3,0,0,0
325000,14,3,0,0,0
326000,12,3,0,0,0
327000,10,4,1,0,0
328000,10,4,0,0,0
329000,9,4,0,0,0
330000,9,4,0,0,0
331000,10,4,0,0,0
332000,10,4,0,0,0
333000,7,5,0,0,0
334000,8,5,0,0,0
335000,7,5,0,0,0
336000,7,5,0,0,0
337000,7,5,0,0,0
338000,7,5,0,0,0
339000,7,5,0,0,0
340000,7,5,0,0,0
341000,6,5,0,0,0
342000,6,5,0,0,0
343000,6,5,0,0,0
344000,6,5,0,0,0
345000,6,5,0,0,0
346000,6,5,0,0,0
347000,6,5,0,0,0
348000,6,5,0,0,0
349000,6,5,0,0,0
350000,6,5,0,0,0
351000,4,6,0,0,0
352000,4,6,0,0,0
353000,4,6,0,0,0
354000,4,6,0,0,0
355000,4,6,0,0,0
356000,5,6,0,0,0
357000,4,6,0,0,0
358000,4,6,0,0,0
359000,5,6,0,0,0
360000,5,6,0,0,0
361000,5,6,0,0,0
362000,4,6,0,0,0
363000,4,6,0,0,0
364000,4,6,0,0,0
365000,3,6,0,0,0
366000,3,6,0,0,0
367000,5,6,0,0,0
368000,5,6,0,0,0
369000,5,6,0,0,0
370000,6,6,0,0,0
371000,4,6,0,0,0
372000,5,6,0,0,0
373000,6,6,0,0,0
374000,5,6,0,0,0
375000,6,6,0,0,0
376000,5,6,0,0,0
377000,4,6,0,0,0
378000,4,6,0,0,0
379000,4,6,0,0,0
380000,5,6,0,0,0
381000,4,6,0,0,0
382000,4,6,0,0,0
383000,4,6,0,0,0
384000,4,6,0,0,0
385000,4,7,0,0,0
386000,3,7,0,0,0
387000,4,7,0,0,0
388000,2,8,0,0,0
389000,2,8,0,0,0
390000,2,8,0,0,0
391000,2,8,0,0,0
392000,2,8,0,0,0
393000,2,8,0,0,0
394000,2,8,0,0,0
395000,2,8,0,0,0
396000,1,9,0,0,0
397000,1,9,0,0,0
398000,1,9,0,0,0
399000,1,9,0,0,0
400000,0,9,0,0,0
401000,1,10,0,0,0
402000,0,10,0,0,0
403000,0,10,0,0,0
404000,1,10,0,0,0
405000,2,10,0,0,0
406000,0,10,0,0,0
407000,0,10,0,0,0
408000,1,10,0,0,0
409000,0,10,0,0,0
410000,0,9,0,0,0
411000,0,9,0,0,0
412000,0,9,0,0,0
413000,1,9,0,0,0
414000,0,9,0,0,0
415000,0,9,0,0,0
416000,0,9,0,0,0
417000,1,9,0,0,0
418000,0,9,0,0,0
419000,0,9,0,0,0
420000,0,9,0,0,0
421000,0,9,0,0,0
422000,1,9,0,0,0
423000,0,9,0,0,0
424000,0,9,0,0,0
425000,1,9,0,0,0
426000,0,9,0,0,0
427000,1,9,0,0,0
428000,0,9,0,0,0
429000,0,9,0,0,0
430000,1,9,0,0,0
431000,2,9,0,0,0
432000,0,9,0,0,0
433000,0,9,0,0,0
