atom,type,x,y,z
C1,C,0.045827,0.096265,0.122685
C2,C,0.082070,0.090708,0.109621
C3,C,0.088086,0.096352,0.077944
C4,C,0.110994,0.081953,0.129734
C5,C,0.120456,0.108487,0.067068
C6,C,0.161198,0.009135,0.016007
H1,H,0.065184,0.100573,0.060432
H2,H,0.025750,0.104727,0.109837
C7,C,0.147499,0.083548,0.118351
C8,C,0.150147,0.102074,0.086770
C9,C,0.121179,0.129270,0.038993
H3,H,0.159321,0.012338,0.068892
C10,C,0.148712,0.146016,0.029508
H4,H,0.099947,0.132821,0.024401
H5,H,0.150880,0.160956,0.007581
C11,C,0.056277,0.162201,0.133852
C12,C,0.155823,0.043203,0.005432
H6,H,0.151419,0.063279,0.025980
H7,H,0.201259,0.080881,0.133536
C13,C,0.176172,0.075891,0.140237
C14,C,0.180032,0.114517,0.074010
H8,H,0.203517,0.106646,0.083077
C15,C,0.179030,0.138334,0.046275
H9,H,0.199452,0.151505,0.035654
H10,H,0.374779,0.116355,0.016572
C16,C,0.412618,0.079797,0.010815
C17,C,0.393840,0.099406,0.013385
H11,H,0.429357,0.059667,0.012830
H12,H,0.129802,0.152309,0.098272
C18,C,0.120491,0.175467,0.096955
C19,C,0.111884,0.202219,0.095501
H13,H,0.100368,0.226901,0.094907
H14,H,0.045379,0.166106,0.111326
C20,C,0.087959,0.043949,0.221263
C21,C,0.061268,0.050592,0.201162
C22,C,0.121642,0.043610,0.209757
H15,H,0.036530,0.040522,0.210148
C23,C,0.132037,0.056714,0.180190
C24,C,0.067683,0.065390,0.168884
C25,C,0.067385,0.155374,0.160703
H16,H,0.019343,0.086291,0.168193
C26,C,0.041168,0.083459,0.153446
C27,C,0.104633,0.065490,0.158562
C28,C,0.076577,0.136407,0.185856
H17,H,0.083731,0.030326,0.245394
H18,H,0.138920,0.038755,0.227242
C29,C,0.082837,0.117380,0.206459
H19,H,0.087657,0.101867,0.227964
H20,H,0.184118,0.059352,0.187821
C30,C,0.166112,0.063126,0.169479
H21,H,0.430170,0.031181,0.259477
H22,H,0.436751,0.092738,0.254893
C31,C,0.380932,0.031245,0.277245
H23,H,0.081571,0.162974,0.250628
C32,C,0.359719,0.154078,0.270264
C33,C,0.386209,0.133904,0.271381
C34,C,0.329934,0.141294,0.285877
C35,C,0.386881,0.098338,0.273064
H24,H,0.408313,0.146367,0.266057
C36,C,0.415015,0.080454,0.263168
C37,C,0.410543,0.044318,0.266308
H25,H,0.071600,0.238956,0.242660
C38,C,0.081639,0.188200,0.246588
C39,C,0.077447,0.214765,0.244589
H26,H,0.417810,0.354508,0.224839
H27,H,0.359145,0.178232,0.263549
H28,H,0.013411,0.481093,0.268180
H29,H,0.381912,0.004933,0.280753
H30,H,0.468600,0.486533,0.194747
C40,C,0.436306,0.406595,0.209075
C41,C,0.444893,0.435772,0.202380
C42,C,0.428821,0.377294,0.217066
C43,C,0.459056,0.461841,0.199213
C44,C,0.354408,0.083837,0.283004
C45,C,0.057657,0.057011,0.381746
C46,C,0.129021,0.043887,0.389139
C47,C,0.083969,0.066414,0.358670
H31,H,0.153648,0.044060,0.397297
C48,C,0.118003,0.061226,0.361627
H32,H,0.134522,0.068523,0.343416
C49,C,0.078021,0.083507,0.327916
H33,H,0.099336,0.090198,0.315850
C50,C,0.046866,0.098257,0.324141
C51,C,0.151915,0.154843,0.392990
H34,H,0.137237,0.158617,0.370102
C52,C,0.024712,0.072555,0.377311
C53,C,0.020790,0.088328,0.345636
C54,C,0.104038,0.032719,0.411653
C55,C,0.068156,0.039473,0.410095
C56,C,0.168803,0.122869,0.390833
H35,H,0.170127,0.111906,0.367524
H36,H,0.043443,0.112510,0.302935
C57,C,0.320996,0.035974,0.301697
H37,H,0.019526,0.215770,0.368797
H38,H,0.254832,0.106667,0.332801
C58,C,0.277111,0.114825,0.322131
