x,y,z
0.045827,0.096265,0.122685
0.082070,0.090708,0.109621
0.088086,0.096352,0.077944
0.110994,0.081953,0.129734
0.120456,0.108487,0.067068
0.161198,0.009135,0.016007
0.065184,0.100573,0.060432
0.025750,0.104727,0.109837
0.147499,0.083548,0.118351
0.150147,0.102074,0.086770
0.121179,0.129270,0.038993
0.159321,0.012338,0.068892
0.148712,0.146016,0.029508
0.099947,0.132821,0.024401
0.150880,0.160956,0.007581
0.056277,0.162201,0.133852
0.155823,0.043203,0.005432
0.151419,0.063279,0.025980
0.201259,0.080881,0.133536
0.176172,0.075891,0.140237
0.180032,0.114517,0.074010
0.203517,0.106646,0.083077
0.179030,0.138334,0.046275
0.199452,0.151505,0.035654
0.374779,0.116355,0.016572
0.412618,0.079797,0.010815
0.393840,0.099406,0.013385
0.429357,0.059667,0.012830
0.129802,0.152309,0.098272
0.120491,0.175467,0.096955
0.111884,0.202219,0.095501
0.100368,0.226901,0.094907
0.045379,0.166106,0.111326
0.087959,0.043949,0.221263
0.061268,0.050592,0.201162
0.121642,0.043610,0.209757
0.036530,0.040522,0.210148
0.132037,0.056714,0.180190
0.067683,0.065390,0.168884
0.067385,0.155374,0.160703
0.019343,0.086291,0.168193
0.041168,0.083459,0.153446
0.104633,0.065490,0.158562
0.076577,0.136407,0.185856
0.083731,0.030326,0.245394
0.138920,0.038755,0.227242
0.082837,0.117380,0.206459
0.087657,0.101867,0.227964
0.184118,0.059352,0.187821
0.166112,0.063126,0.169479
0.430170,0.031181,0.259477
0.436751,0.092738,0.254893
0.380932,0.031245,0.277245
0.081571,0.162974,0.250628
0.359719,0.154078,0.270264
0.386209,0.133904,0.271381
0.329934,0.141294,0.285877
0.386881,0.098338,0.273064
0.408313,0.146367,0.266057
0.415015,0.080454,0.263168
0.410543,0.044318,0.266308
0.071600,0.238956,0.242660
0.081639,0.188200,0.246588
0.077447,0.214765,0.244589
0.417810,0.354508,0.224839
0.359145,0.178232,0.263549
0.013411,0.481093,0.268180
0.381912,0.004933,0.280753
0.468600,0.486533,0.194747
0.436306,0.406595,0.209075
0.444893,0.435772,0.202380
0.428821,0.377294,0.217066
0.459056,0.461841,0.199213
0.354408,0.083837,0.283004
0.057657,0.057011,0.381746
0.129021,0.043887,0.389139
0.083969,0.066414,0.358670
0.153648,0.044060,0.397297
0.118003,0.061226,0.361627
0.134522,0.068523,0.343416
0.078021,0.083507,0.327916
0.099336,0.090198,0.315850
0.046866,0.098257,0.324141
0.151915,0.154843,0.392990
0.137237,0.158617,0.370102
0.024712,0.072555,0.377311
0.020790,0.088328,0.345636
0.104038,0.032719,0.411653
0.068156,0.039473,0.410095
0.168803,0.122869,0.390833
0.170127,0.111906,0.367524
0.043443,0.112510,0.302935
0.320996,0.035974,0.301697
0.019526,0.215770,0.368797
0.254832,0.106667,0.332801
0.277111,0.114825,0.322131
0.282720,0.150009,0.318430
0.305930,0.163482,0.296020
0.299056,0.057480,0.315435
0.299460,0.094626,0.308666
0.278852,0.048820,0.329180
0.497505,0.037641,0.348328
0.223242,0.029880,0.353627
0.317514,0.011200,0.300075
0.224235,0.005211,0.361715
0.214190,0.042982,0.397682
0.182490,0.112687,0.421034
0.223394,0.054705,0.417935
0.328990,0.105760,0.292612
0.263968,0.166546,0.346913
0.308740,0.188352,0.291311
0.241229,0.185788,0.389193
0.261304,0.447924,0.420692
0.151136,0.177340,0.417218
0.136557,0.198768,0.416837
0.253186,0.178599,0.368139
0.009335,0.220282,0.389708
0.352033,0.048608,0.286052
0.062855,0.026654,0.473279
0.096981,0.021920,0.471992
0.049848,0.037490,0.442995
0.091820,0.074273,0.508670
0.048357,0.028298,0.499053
0.015259,0.045251,0.449185
0.106316,0.061217,0.525399
0.160699,0.038656,0.547279
0.151104,0.066531,0.502439
0.138426,0.056215,0.522458
0.042158,0.054236,0.529044
0.009905,0.037717,0.474318
0.090378,0.040318,0.550840
0.054734,0.038172,0.546082
0.169084,0.167202,0.447786
0.117083,0.025446,0.443747
0.141747,0.018706,0.445893
0.206451,0.083960,0.432314
0.241216,0.005341,0.489007
0.278679,0.092703,0.523420
0.206603,0.068135,0.537037
0.261014,0.053830,0.469593
0.185249,0.137542,0.446529
0.221490,0.094589,0.462608
0.251104,0.042450,0.438169
0.206166,0.124339,0.470278
0.247469,0.082248,0.483865
0.278517,0.041564,0.484109
0.258846,0.101514,0.512018
0.194892,0.047591,0.549698
0.277170,0.035236,0.571018
0.402728,0.495849,0.476866
0.106933,0.016023,0.494884
0.237495,0.128886,0.521225
0.212167,0.142465,0.499781
0.244115,0.140123,0.543398
0.476784,0.144177,0.537907
0.457004,0.135069,0.522968
0.473374,0.152147,0.567733
0.164334,0.207478,0.479773
0.174531,0.183685,0.478013
0.181117,0.244019,0.560896
0.203819,0.254554,0.551376
0.194704,0.173437,0.503350
0.195524,0.186342,0.525655
0.462389,0.399521,0.563669
0.502951,0.249924,0.522977
0.500346,0.147098,0.525487
0.262932,0.021289,0.430295
0.406813,0.487182,0.454131
0.282803,0.494195,0.433387
0.271051,0.471341,0.427348
0.020545,0.002798,0.556392
0.493681,0.430584,0.534807
0.478315,0.414260,0.550059
0.043671,0.010902,0.566498
0.304027,0.037329,0.566611
0.157275,0.234646,0.569764
0.108808,0.019703,0.574165
0.143949,0.026472,0.574670
0.195780,0.011811,0.602123
0.428208,0.095341,0.699095
0.398822,0.054123,0.690722
0.385338,0.090324,0.654826
0.413560,0.141903,0.664715
0.388154,0.127287,0.605685
0.380342,0.108468,0.590813
0.397256,0.121369,0.641787
0.363613,0.081835,0.645459
0.402538,0.076818,0.683592
0.434898,0.128722,0.691210
0.474526,0.159238,0.598842
0.454992,0.498990,0.640993
0.133365,0.230388,0.578370
0.268524,0.274302,0.589911
0.229720,0.309550,0.600834
0.242525,0.277474,0.595578
0.215447,0.339567,0.605845
0.467501,0.177823,0.693989
0.386433,0.159397,0.599640
0.408682,0.184569,0.618248
0.420138,0.174109,0.651239
0.427763,0.207163,0.601924
0.429116,0.209855,0.575286
0.473453,0.281423,0.595949
0.448212,0.228259,0.624608
0.448348,0.190443,0.666431
0.451431,0.224074,0.658357
0.463034,0.259704,0.608024
0.462870,0.242104,0.672186
0.162482,0.004541,0.596162
0.110544,0.473399,0.581044
0.137604,0.448540,0.624535
0.122929,0.462864,0.600426
0.205973,0.342874,0.629078
0.172583,0.429559,0.655529
0.130653,0.416091,0.663034
0.146901,0.432787,0.651124
0.249619,0.033745,0.574964
0.486271,0.303592,0.583293
0.446158,0.475555,0.637864
0.461019,0.146756,0.705417
0.471494,0.165438,0.624359
0.484752,0.192326,0.707059
0.219773,0.358086,0.589999
0.210838,0.034715,0.578384
0.211736,-0.000719,0.619936
0.375169,0.168147,0.578409
0.315693,0.146880,0.817819
0.288944,0.146798,0.816876
0.263546,0.148755,0.815808
0.341306,0.147263,0.820074
0.443117,0.082399,0.715381
0.490018,0.420600,0.803243
0.475150,0.134405,0.722551
0.497716,0.014201,0.791659
0.035724,0.478396,0.849793
0.382076,0.413180,0.755942
0.428410,0.329923,0.801525
0.404233,0.319443,0.795215
0.383264,0.305362,0.790880
0.497539,0.301373,0.733078
0.486195,0.318745,0.717390
0.058370,0.438395,0.809224
0.108064,0.443264,0.824241
0.090060,0.429398,0.763625
0.125754,0.423252,0.800072
0.173472,0.411047,0.835894
0.172283,0.376315,0.726945
0.130481,0.405872,0.739975
0.159212,0.409914,0.803536
0.174004,0.390722,0.778247
0.194720,0.379169,0.787018
0.161181,0.389473,0.745190
0.112292,0.420433,0.767505
0.119740,0.410515,0.719081
0.073560,0.450878,0.825578
0.195980,0.396811,0.836964
0.393456,0.458925,0.779350
0.385478,0.438353,0.765450
0.497099,0.418850,0.778576
0.485482,0.469043,0.761493
0.493961,0.445343,0.754849
0.453688,0.329795,0.805654
0.383261,0.388691,0.747326
0.060724,0.471525,0.850069
0.129389,0.449022,0.853196
0.080681,0.097874,0.968115
0.098200,0.122314,0.961000
0.117492,0.146244,0.957829
0.067202,0.073928,0.971505
0.117493,0.165000,0.937515
0.162303,0.011901,0.862657
0.165024,0.007916,0.888593
0.160567,0.055477,0.904555
0.165162,0.032273,0.912278
0.185960,0.337276,0.962330
0.169247,0.024787,0.946406
0.137259,0.148560,0.974140
0.159725,0.049765,0.971773
0.154423,0.073351,0.962453
0.227358,0.315453,0.938565
0.245787,0.300260,0.926380
0.138929,0.491805,0.953722
0.122249,0.485939,0.935364
0.115840,0.463294,0.878352
0.134376,0.469884,0.906989
0.176763,0.459893,0.938122
0.179071,0.435629,0.891271
0.081875,0.478043,0.877408
0.202938,0.425604,0.894125
0.205847,0.327103,0.950551
0.164777,0.453608,0.915953
0.068469,0.493353,0.906920
0.158910,0.430155,0.861612
0.495838,0.086077,0.981914
0.182833,0.601999,0.008466
0.418151,0.898502,0.009097
0.333452,0.649789,0.120234
0.335032,0.630898,0.139625
0.106802,0.750949,0.134862
0.319145,0.835661,0.031944
0.321367,0.677372,0.097026
0.308795,0.697728,0.084692
0.294497,0.715873,0.074406
0.329881,0.816947,0.018290
0.452347,0.795956,0.131160
0.423429,0.782580,0.043304
0.419660,0.838216,0.107661
0.367486,0.843971,0.059391
0.424939,0.818273,0.093515
0.382763,0.826931,0.049169
0.410505,0.811168,0.061893
0.434378,0.756694,0.062860
0.441620,0.792747,0.107424
0.365576,0.811303,0.022234
0.451677,0.739454,0.110484
0.435545,0.733136,0.052198
0.445339,0.759588,0.094841
0.417061,0.779620,0.009015
0.171751,0.963268,0.057879
0.177318,0.915553,0.040083
0.181096,0.938994,0.034084
0.397174,0.915415,0.031406
0.166624,0.944587,0.091981
0.162062,0.932370,0.116103
0.156769,0.920548,0.139687
0.408940,0.926654,0.050888
0.362576,0.915010,0.027681
0.468806,0.902834,0.028830
0.453371,0.893240,0.010924
0.349374,0.928562,0.044909
0.294918,0.894519,0.011881
0.166339,0.996964,0.049623
0.039888,0.954631,-0.000724
0.180985,0.950448,0.000204
0.033498,0.572857,0.218500
0.023976,0.583121,0.197662
0.491072,0.634405,0.178709
0.013351,0.594114,0.175544
0.124426,0.506104,0.283680
0.041394,0.524460,0.255562
0.001493,0.602907,0.153356
