id type xs ys zs 
904 1 0.045827 0.0962654 0.122685 
905 1 0.0820698 0.0907084 0.109621 
908 1 0.0880861 0.0963518 0.0779443 
899 1 0.110994 0.0819534 0.129734 
907 1 0.120456 0.108487 0.0670684 
781 1 0.161198 0.0091352 0.0160071 
920 2 0.0651836 0.100573 0.0604319 
919 2 0.0257498 0.104727 0.109837 
900 1 0.147499 0.0835476 0.118351 
906 1 0.150147 0.102074 0.0867699 
909 1 0.121179 0.12927 0.0389931 
795 2 0.159321 0.0123384 0.0688916 
910 1 0.148712 0.146016 0.0295083 
921 2 0.0999472 0.132821 0.0244012 
922 2 0.15088 0.160956 0.00758124 
204 1 0.0562773 0.162201 0.133852 
780 1 0.155823 0.043203 0.00543171 
791 2 0.151419 0.0632787 0.0259799 
916 2 0.201259 0.0808813 0.133536 
901 1 0.176172 0.0758912 0.140237 
912 1 0.180032 0.114517 0.0740096 
924 2 0.203517 0.106646 0.0830772 
911 1 0.17903 0.138334 0.0462753 
923 2 0.199452 0.151505 0.0356545 
27 2 0.374779 0.116355 0.0165724 
26 1 0.412618 0.079797 0.010815 
25 1 0.39384 0.0994062 0.0133847 
28 2 0.429357 0.0596672 0.0128297 
63 2 0.129802 0.152309 0.0982722 
61 1 0.120491 0.175467 0.0969546 
62 1 0.111884 0.202219 0.0955014 
64 2 0.100368 0.226901 0.0949065 
206 2 0.0453786 0.166106 0.111326 
894 1 0.0879586 0.0439489 0.221263 
893 1 0.0612677 0.0505924 0.201162 
895 1 0.121642 0.0436101 0.209757 
913 2 0.0365298 0.0405216 0.210148 
896 1 0.132037 0.0567141 0.18019 
898 1 0.0676826 0.0653904 0.168884 
203 1 0.0673846 0.155374 0.160703 
918 2 0.0193435 0.0862913 0.168193 
903 1 0.0411685 0.0834591 0.153446 
897 1 0.104633 0.06549 0.158562 
202 1 0.0765771 0.136407 0.185856 
914 2 0.0837307 0.0303257 0.245394 
915 2 0.13892 0.0387553 0.227242 
201 1 0.0828373 0.11738 0.206459 
205 2 0.0876573 0.101867 0.227964 
917 2 0.184118 0.0593517 0.187821 
902 1 0.166112 0.0631256 0.169479 
757 2 0.43017 0.0311809 0.259477 
759 2 0.436751 0.0927381 0.254893 
742 1 0.380932 0.0312451 0.277245 
184 2 0.0815712 0.162974 0.250628 
752 1 0.359719 0.154078 0.270264 
751 1 0.386209 0.133904 0.271381 
753 1 0.329934 0.141294 0.285877 
745 1 0.386881 0.0983379 0.273064 
762 2 0.408313 0.146367 0.266057 
746 1 0.415015 0.0804543 0.263168 
741 1 0.410543 0.0443178 0.266308 
183 2 0.0715996 0.238956 0.24266 
182 1 0.0816393 0.1882 0.246588 
181 1 0.0774466 0.214765 0.244589 
218 2 0.41781 0.354508 0.224839 
763 2 0.359145 0.178232 0.263549 
23 2 0.0134107 0.481093 0.26818 
758 2 0.381912 0.0049326 0.280753 
217 2 0.4686 0.486533 0.194747 
215 1 0.436306 0.406595 0.209075 
214 1 0.444893 0.435772 0.20238 
216 1 0.428821 0.377294 0.217066 
213 1 0.459056 0.461841 0.199213 
744 1 0.354408 0.083837 0.283004 
605 1 0.0576565 0.0570107 0.381746 
