Timestep	No_Moles	No_Specs
30.2027	153	21
30.4027	158	21
30.6027	139	15
30.8027	143	25
31.0027	138	25
31.2027	133	23
31.4027	143	25
31.6027	129	26
31.8027	140	28
32.0027	136	32
32.2027	145	30
32.4027	132	30
32.6027	148	32
32.8027	128	28
33.0027	158	34
33.2027	143	35
33.4027	128	31
33.6027	129	29
33.8027	136	29
34.0027	153	35
34.2027	146	36
34.4027	138	34
34.6027	138	32
34.8027	145	32
35.0027	134	32
35.2027	119	29
35.4027	152	32
35.6027	126	30
35.8027	142	34
36.0027	125	32
36.2027	125	33
36.4027	144	33
36.6027	125	37
36.8027	149	34
37.0027	120	32
37.2027	136	34
37.4027	133	35
37.6027	125	32
37.8027	131	37
38.0027	123	37
38.2027	123	32
38.4027	125	38
38.6027	143	37
38.8027	148	35
39.0027	141	42
39.2027	152	39
39.4027	122	33
39.6027	132	37
39.8027	139	40
40.0027	136	31
40.2027	146	39
40.4027	146	37
40.6027	145	41
40.8027	145	34
41.0027	124	36
41.2027	151	36
41.4027	148	36
41.6027	129	32
41.8027	129	38
42.0027	134	39
42.2027	122	37
42.4027	128	36
42.6027	137	36
42.8027	124	37
43.0027	139	38
43.2027	134	34
43.4027	134	35
43.6027	151	41
43.8027	140	37
44.0027	145	40
44.2027	130	39
44.4027	135	38
44.6027	145	42
44.8027	119	33
45.0027	147	39
45.2027	137	42
45.4027	120	36
45.6027	140	41
45.8027	118	36
46.0027	121	36
46.2027	159	43
46.4027	127	37
46.6027	143	39
46.8027	152	48
47.0027	142	45
47.2027	128	37
47.4027	142	41
47.6027	129	38
47.8027	151	36
48.0027	148	46
48.2027	146	40
48.4027	142	41
48.6027	146	44
48.8027	124	39
49.0027	131	39
49.2027	143	41
49.4027	122	45
49.6027	149	45
49.8027	122	39
50.0027	125	42
50.2027	143	41
50.4027	128	38
50.6027	129	44
50.8027	154	43
51.0027	129	43
51.2027	136	42
51.4027	123	41
51.6027	138	43
51.8027	135	42
52.0027	125	42
52.2027	128	41
52.4027	141	40
52.6027	150	44
52.8027	141	40
53.0027	137	40
53.2027	135	44
53.4027	132	41
53.6027	139	45
